Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780907032,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1780907033,2,,Aggregated,0.000000,0.000000,17,17,17,17,17,17,17,17,17,17,17,2,2,13,15.112297500309069,12.799485999494209,17.42510900112393,27.0
1780907034,4,,Aggregated,0.000000,0.000000,17,18,18,21,21,21,21,21,21,21,21,5,4,17,14.373335799973574,3.4392509987810627,20.63646799979324,42.2
1780907035,6,,Aggregated,2.000000,2.000000,13,13,17,18,21,21,21,21,21,21,21,10,7,12,11.495135400036816,3.4392509987810627,20.63646799979324,49.8
1780907036,8,,Aggregated,2.000000,2.000000,12,13,17,17,18,21,21,21,21,21,21,12,8,12,11.433017166685508,3.4392509987810627,20.63646799979324,52.333333333333336
1780907039,10,,Aggregated,2.666667,2.000000,10,12,13,13,18,21,21,21,21,21,21,19,14,10,10.176897736911135,3.4392509987810627,20.63646799979324,53.63157894736842
1780907040,10,,Aggregated,3.166667,2.333333,10,12,13,13,17,18,21,21,21,21,21,22,16,8,9.7577652273189,3.061023999180179,20.63646799979324,53.45454545454545
1780907041,10,,Aggregated,2.714286,2.000000,8,12,13,13,17,18,21,21,21,21,21,27,18,8,9.059576333365166,3.061023999180179,20.63646799979324,57.0
1780907042,10,,Aggregated,2.625000,1.875000,9,12,13,13,17,18,21,21,21,21,21,30,21,8,9.14914253335155,3.061023999180179,20.63646799979324,54.0
1780907043,10,,Aggregated,2.888889,2.000000,9,12,12,13,14,18,21,21,21,21,21,34,22,8,8.870046205950477,3.061023999180179,20.63646799979324,57.529411764705884
1780907044,10,,Aggregated,2.800000,1.900000,7,10,12,13,14,18,21,21,21,21,21,37,25,7,8.460993567643674,3.061023999180179,20.63646799979324,58.45945945945946
1780907045,10,,Aggregated,2.800000,1.900000,8,10,12,13,14,17,21,21,21,21,21,42,28,7,8.571145285800629,3.061023999180179,20.63646799979324,61.333333333333336
1780907046,10,,Aggregated,3.000000,1.900000,7,10,12,13,14,17,21,21,21,21,21,45,29,7,8.278038822269687,3.061023999180179,20.63646799979324,65.22222222222223
1780907047,10,,Aggregated,3.100000,2.100000,7,10,12,13,15,18,27,27,27,27,27,48,31,7,8.491364645882035,3.061023999180179,26.601552999636624,64.41666666666667
1780907048,10,,Aggregated,3.200000,2.100000,6,10,12,13,15,18,21,27,27,27,27,55,34,6,8.337354072765182,3.061023999180179,26.601552999636624,65.18181818181819
1780907049,10,,Aggregated,3.000000,1.800000,6,10,12,13,15,18,21,27,27,27,27,58,37,6,8.176211896609637,3.061023999180179,26.601552999636624,65.37931034482759
1780907050,10,,Aggregated,3.000000,1.800000,6,9,12,13,15,18,21,27,27,27,27,59,37,6,8.108732339062074,3.061023999180179,26.601552999636624,66.01694915254237
1780907051,10,,Aggregated,3.600000,2.000000,6,9,12,12,14,17,21,27,27,27,27,63,39,6,7.946298809613273,3.061023999180179,26.601552999636624,65.95238095238095
1780907052,10,,Aggregated,3.800000,2.200000,6,9,11,12,14,17,21,27,27,27,27,69,43,6,7.716544203002991,2.787833000184037,26.601552999636624,64.76811594202898
1780907053,10,,Aggregated,3.600000,2.100000,6,9,11,12,14,17,21,27,27,27,27,73,45,6,7.67628008226943,2.787833000184037,26.601552999636624,64.78082191780823
1780907054,10,,Aggregated,3.900000,2.200000,6,8,10,12,14,17,21,27,27,27,27,77,48,6,7.513196779288958,2.787833000184037,26.601552999636624,63.8051948051948
1780907050,10,,Aggregated,3.000000,1.800000,6,9,10,11,13,17,21,27,27,27,27,81,49,6,7.511433358076043,2.776858998913667,26.601552999636624,64.80246913580247
1780907051,10,,Aggregated,3.300000,1.900000,6,9,10,11,13,17,21,27,27,27,27,86,53,6,7.540004290730881,2.776858998913667,26.601552999636624,64.95348837209302
1780907052,10,,Aggregated,3.600000,2.000000,6,9,11,11,14,17,21,27,27,27,27,91,56,6,7.615582901133086,2.776858998913667,26.601552999636624,67.3076923076923
1780907053,10,,Aggregated,4.200000,2.300000,6,9,10,11,14,17,21,27,27,27,27,94,57,6,7.526696989403486,2.776858998913667,26.601552999636624,67.63829787234043
1780907054,10,,Aggregated,4.500000,2.600000,6,8,10,11,14,17,21,27,27,27,27,99,60,6,7.353337767713725,2.776858998913667,26.601552999636624,67.12121212121212
1780907055,10,,Aggregated,5.800000,3.200000,6,8,10,11,13,17,18,21,27,27,27,101,60,6,7.274060544587694,2.726941998844268,26.601552999636624,67.83168316831683
1780907056,10,,Aggregated,5.800000,3.200000,6,8,10,11,13,17,18,21,27,27,27,107,66,6,7.249085233669465,2.726941998844268,26.601552999636624,66.7196261682243
1780907057,10,,Aggregated,6.200000,3.600000,6,8,10,11,13,17,18,21,27,27,27,113,69,6,7.262543008863783,2.51947300057509,26.601552999636624,67.7433628318584
1780907058,10,,Aggregated,6.100000,3.300000,6,8,10,11,13,17,18,21,27,27,27,114,70,6,7.2258996754642695,2.51947300057509,26.601552999636624,67.3859649122807
1780907059,10,,Aggregated,6.600000,3.900000,6,7,10,11,13,17,18,21,27,27,27,120,75,6,7.090359716691334,2.51947300057509,26.601552999636624,66.0
1780907060,10,,Aggregated,6.200000,3.700000,6,7,9,10,13,15,18,21,27,27,27,125,78,6,7.045340072028921,2.51947300057509,26.601552999636624,65.656
1780907061,10,,Aggregated,6.100000,3.700000,5,7,9,10,13,15,18,21,27,27,27,129,81,5,6.976904449656167,2.51947300057509,26.601552999636624,67.97674418604652
1780907062,10,,Aggregated,5.700000,3.700000,5,7,9,10,13,15,18,21,27,27,27,130,82,5,6.946834607725368,2.51947300057509,26.601552999636624,67.66153846153846
1780907063,10,,Aggregated,5.400000,3.400000,6,8,9,10,13,15,18,21,27,27,27,134,84,5,6.9940850448191085,2.51947300057509,26.601552999636624,67.58208955223881
1780907065,10,,Aggregated,2.400000,1.700000,6,8,9,10,13,17,21,27,61,61,61,138,87,5,7.343003318886116,2.51947300057509,61.23873599972285,66.95652173913044
1780907066,10,,Aggregated,3.700000,2.500000,5,8,9,10,13,15,21,27,61,61,61,144,91,5,7.30148727783823,2.51947300057509,61.23873599972285,67.22222222222223
1780907067,10,,Aggregated,3.700000,2.500000,5,8,9,10,13,15,21,27,61,61,61,145,91,5,7.27028848282473,2.51947300057509,61.23873599972285,67.46896551724137
1780907068,10,,Aggregated,3.200000,2.100000,5,8,9,11,13,15,21,27,61,61,61,150,94,5,7.28104212674225,2.51947300057509,61.23873599972285,67.13333333333334
1780907069,10,,Aggregated,3.200000,2.100000,5,8,9,11,13,16,18,27,61,61,61,155,98,5,7.2745774516900585,2.51947300057509,61.23873599972285,66.32903225806452
1780907070,10,,Aggregated,3.400000,2.300000,5,8,9,10,13,16,18,27,61,61,61,157,99,5,7.269009407722316,2.51947300057509,61.23873599972285,66.31210191082802
1780907071,10,,Aggregated,3.800000,2.600000,5,8,9,10,13,15,18,27,61,61,61,162,102,5,7.235237475380231,2.51947300057509,61.23873599972285,66.03703703703704
1780907072,10,,Aggregated,3.600000,2.400000,5,8,9,10,13,15,18,27,61,61,61,168,106,5,7.182346375050959,2.51947300057509,61.23873599972285,65.54761904761905
1780907073,10,,Aggregated,3.600000,2.400000,5,8,9,10,13,15,18,27,61,61,61,171,107,5,7.151447649182594,2.51947300057509,61.23873599972285,65.76023391812865
1780907074,10,,Aggregated,3.500000,2.200000,5,8,9,10,13,15,18,27,61,61,61,175,110,5,7.163849680062932,2.51947300057509,61.23873599972285,65.30857142857143
1780907075,10,,Aggregated,3.900000,2.400000,5,8,9,10,13,15,18,27,61,61,61,177,111,5,7.176838853174662,2.51947300057509,61.23873599972285,65.30508474576271
1780907076,10,,Aggregated,4.000000,2.500000,5,8,9,10,13,16,18,27,61,61,61,183,115,5,7.244586153061252,2.51947300057509,61.23873599972285,66.2568306010929
1780907077,10,,Aggregated,3.900000,2.500000,5,8,9,10,13,16,18,27,61,61,61,187,116,5,7.204186048185612,2.51947300057509,61.23873599972285,66.63636363636364
1780907078,10,,Aggregated,4.300000,2.700000,5,8,9,10,13,16,18,27,61,61,61,191,119,5,7.227370277540017,2.51947300057509,61.23873599972285,66.20418848167539
1780907079,10,,Aggregated,4.100000,2.500000,5,8,9,10,13,16,18,27,61,61,61,193,120,5,7.204996637356183,2.51947300057509,61.23873599972285,66.19170984455958
1780907080,10,,Aggregated,4.100000,2.500000,6,8,9,10,13,16,18,27,61,61,61,199,124,6,7.2447625930158095,2.108257000145386,61.23873599972285,66.4070351758794
